"Assign a Customer Group","Assign a Customer Group"
"Average Sale","Media vânzarilor"
"Back","Înapoi"
"Back - link to the previously viewed page","Înapoi - link catre paginile vizionate anterior"
"Back to Login","Înapoi la Autentificare"
"Bad request.","Cerere eronată."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","In baza codului CIF clientul aparține Grupului de Clienti %s."
"Bill to Name","Bill to Name"
"Bought From","Au cumpărat de la"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui cont în magazinul nostru veţi putea să plătiţi mai uşor, salva mai multe adrese de livrare si facturare, să urmăriți comenzile şi multe altele."
"CSV","CSV"
"Cancel","Anulează"
"Cannot save a new password.","Cannot save a new password."
"Cannot save address.","Cannot save address."
"Cannot save the customer.","Cannot save the customer."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged."
"Change Account Password","Change Account Password"
"Change Billing Address","Change Billing Address"
"Change Password","Modifică parola"
"Change Shipping Address","Schimbă adresa de livrare"
"City","Oraș"
"Company","Companie"
"Config","Config"
"Configure","Configurare"
"Confirm New Password","Confirmă noua parolă"
"Confirm Password","Confirmă parola"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmat"
"Contact Information","Formular de contact"
"Continue Shopping","Continuă cumpărăturile"
"Country","Tară"
"Create","Crează"
"Create New Account Options","Creare noi opţiuni cont"
"Create New Customer Account","Creați un cont nou de client"
"Create Order","Crează o comandă"
"Create an Account","Crează un cont"
"Create customer","Crează un client"
"Create customer address","Crează adresa clientului"
"Current Password","Parolă curentă"
"Customer","Client"
"Customer API","Client API"
"Customer Account Edit Form","Customer Account Edit Form"
"Customer Account Login Form","Customer Account Login Form"
"Customer Account Logout Success","Customer Account Logout Success"
"Customer Account Registration Form","Customer Account Registration Form"
"Customer Addresses","Customer Addresses"
"Customer Configuration","Customer Configuration"
"Customer Forgot Password Form","Customer Forgot Password Form"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Customer Information","Customer Information"
"Customer Login","Autentificare clienți"
"Customer My Account (All Pages)","Customer My Account (All Pages)"
"Customer My Account Address Book","Customer My Account Address Book"
"Customer My Account Address Edit Form","Customer My Account Address Edit Form"
"Customer My Account Dashboard","Customer My Account Dashboard"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer collection expected.","Customer collection expected."
"Customer email is required","Customer email is required"
"Customer website ID must be specified when using the website scope","Customer website ID must be specified when using the website scope"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Customers","Customers"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"DD","ZZ"
"Date","Data"
"Date Added","Dată adăugată"
"Date of Birth","Data nașterii"
"Day","Zi"
"Days in Wishlist","Zile în lista de dorințe"
"Default Addresses","Adrese principală"
"Default Billing Address","Adresă principală de facturare"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Adresă principală de livrare"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Default Welcome Email","Default Welcome Email"
"Delete","Delete"
"Delete Address","Delete Address"
"Delete Customer","Delete Customer"
"Delete Customer Group","Delete Customer Group"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Deleted Stores"
"Details","Details"
"Disabled","Disabled"
"Edit","Editează"
"Edit Account Info","Editează info cont"
"Edit Account Information","Editează informaţiile contului"
"Edit Address","Editează adresa"
"Edit Address Entry","Editează adresa"
"Edit Customer Group ""%s""","Editează grupul de clienți ""%s"""
"Edit Customer Groups","Editează grupurile de clieți"
"Edit Customer's Address","Editează adresa clientului"
"Edit Group","Editează grupul"
"Edit Newsletters","Editează Newsletter"
"Email","Email"
"Email Address","Adresă email"
"Email Sender","Expeditor email"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Entity collection is expected.","Entity collection is expected."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Prenume"
"Forgot Email Template","Forgot Email Template"
"Forgot Password","Forgot Password"
"Forgot Your Password","Am uitat parola"
"Forgot Your Password?","Ați uitat parola?"
"Forgot and Remind Email Sender","Forgot and Remind Email Sender"
"Form Fields Before","Form Fields Before"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Sunteți autentificat la contul dumneavoastră. Acum aveți posibilitatea de a actualiza informațiile contului, să adăugați si stabili adresele de facturare şi de livrare. Puteți urmari stadiul comenzilor dumnevoastră si puteți printa facturile. Selectați un link de mai jos pentru a vizualiza sau edita informatiile."
"Gender","Gen"
"Gender is required.","Gender is required."
"General Subscription","Subscriere Generală"
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Global","Global"
"Grand Total","Grand Total"
"Group","Group"
"Group Information","Group Information"
"Group Name","Group Name"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Guest","Oaspete"
"HTML","HTML"
"Hello, %s!","Bine ai venit %s!"
"ID","ID"
"IP Address","Adresă IP"
"If there is an account associated with %s you will receive an email with a link to reset your password.","If there is an account associated with %s you will receive an email with a link to reset your password."
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation"
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation"
"If you believe this is an error, please contact us at %s","If you believe this is an error, please contact us at %s"
"If you have an account with us, please log in.","Dacă aveți un cont la noi, vă rugăm să vă autentificați. <br /> Introduceți adresa de email și parola:"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid billing address for (%s)","Invalid billing address for (%s)"
"Invalid current password","Invalid current password"
"Invalid customer data","Invalid customer data"
"Invalid email address ""%s"".","Invalid email address ""%s""."
"Invalid email address.","Invalid email address."
"Invalid login or password.","Autentificare eșuată. Utilizator sau Parolă greșită."
"Invalid password reset token.","Invalid password reset token."
"Invalid shipping address for (%s)","Invalid shipping address for (%s)"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid website, skipping the record, line: %s","Invalid website, skipping the record, line: %s"
"Last Activity","Last Activity"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"Last Name","Nume"
"Last URL","Ultimul URL"
"Leave empty for default (15 minutes).","Lăsați gol pentru setarea de bază (15 minute)."
"Leave empty for default (2). Valid range: 1-4","Lăsați gol pentru setarea de bază (2). Interval valid: 1-4"
"Lifetime Sales","Lifetime Sales"
"Log In","Intrare în cont"
"Log Out","Ieșire din cont"
"Login","Autentificare"
"Login Information","Informații autentificare"
"Login Options","Opțiuni autentificare"
"Login and password are required.","Sunt necesare autentificare si parolă."
"Login or Create an Account","Autentificaţi-vă sau creaţi-vă un cont"
"MM","LL"
"Manage Addresses","Administrează adresele"
"Manage Customers","Administrează clienții"
"Maximum length must be less then %s symbols","Maximum length must be less then %s symbols"
"Missing email, skipping the record, line: %s","Missing email, skipping the record, line: %s"
"Missing email, skipping the record.","Missing email, skipping the record."
"Missing first name, skipping the record, line: %s","Missing first name, skipping the record, line: %s"
"Missing firstname, skipping the record.","Missing firstname, skipping the record."
"Missing last name, skipping the record, line: %s","Missing last name, skipping the record, line: %s"
"Missing lastname, skipping the record.","Missing lastname, skipping the record."
"Missing website, skipping the record, line: %s","Missing website, skipping the record, line: %s"
"Month","Lună"
"My Account","Contul meu"
"My Account Wrapper","My Account Wrapper"
"My Dashboard","Informatii generale"
"My Orders","Comenzile mele"
"Name","Denumire"
"Name and Address Options","Name and Address Options"
"Never","Niciodată"
"New Address","Adresă Nouă"
"New Address Entry","New Address Entry"
"New Customer","New Customer"
"New Customer Address","New Customer Address"
"New Customer Group","New Customer Group"
"New Customer Groups","New Customer Groups"
"New Customers","Clienți noi"
"New Group","Grup nou"
"New Password","Parolă nouă"
"New account","Cont nou"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password field cannot be empty.","New password field cannot be empty."
"Newsletter","Newsletter"
"Newsletter Finish","Sfârșit Newsletter"
"Newsletter Information","Informații Newsletter"
"Newsletter Received","Newsletter primit"
"Newsletter Start","Început Newsletter"
"Newsletter Subscription","Abonare Newsletter"
"Newsletters","Newslettere"
"No Items Found","Nici un element gasit"
"No Newsletter Found","Nici un Newsletter gasit"
"No customer collections found","No customer collections found"
"No item specified.","Nici un element specificat."
"Not Sent","Nu a fost trimis"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of Lines in a Street Address ","Numărul de linii dintr-o adresă "
"Offline","Offline"
"Online","Online"
"Online Customers","Online Customers"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Order #"
"Order Total","Order Total"
"Orders","Orders"
"PDF","PDF"
"Password","Parolă"
"Password Management","Password Management"
"Password Options","Opțiuni parolă"
"Password forgotten","Parolă uitată"
"Password:","Parolă:"
"Paused","Paza"
"Pending","În așteptare"
"Per Website","Per Website"
"Personal Information","Informații personale"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Please enter a valid date between %s and %s at %s.","Please enter a valid date between %s and %s at %s."
"Please enter a valid date equal to or greater than %s at %s.","Please enter a valid date equal to or greater than %s at %s."
"Please enter a valid date less than or equal to %s at %s.","Please enter a valid date less than or equal to %s at %s."
"Please enter the city.","Vă rugăm introduceți orașul."
"Please enter the country.","Vă rugăm introduceți țara."
"Please enter the first name.","Vă rugăm introduceți Prenumele."
"Please enter the last name.","Vă rugăm introduceți Numele."
"Please enter the state/province.","Vă rugăm introduceți județul/sectorul."
"Please enter the street.","Vă rugăm introduceți strada."
"Please enter the telephone number.","Vă rugăm introduceți numărul de telefon."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter your email address below. You will receive a link to reset your password.","Vă rugăm să introduceți adresa de email cu care v-ați înregistrat. Veți primi un link pentru a reseta parola."
"Please enter your email below and we\'ll send you confirmation link for it.","Please enter your email below and we\'ll send you confirmation link for it."
"Please enter your email.","Va rugăm introduceți email dumnevoastră."
"Please make sure your passwords match.","Vă rugăm să vă asigurați-vă că parolele sunt identice."
"Please select","Vă rugăm selectați"
"Please select a website which contains store view","Please select a website which contains store view"
"Please select region, state or province","Please select region, state or province"
"Please, check your email for confirmation key.","Please, check your email for confirmation key."
"Prefix Dropdown Options","Prefix Dropdown Options"
"Price","Preț"
"Product","Produs"
"Product ID","ID Produs"
"Product Name","Denumire Produs"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Purchase On","Purchase On"
"Purchased At","Purchased At"
"Qty","Cantitate"
"Recent Orders","Comenzi recente"
"Records for %s store found.","Înregistrările pentru %s găsite în magazin."
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Redirect Customer to Account Dashboard after Logging in","Redirecționează Clienții în pagina 'Informatii Generale' după Autentificare"
"Refunded","Rambursat"
"Registered Customers","Autentificare clienți înregistrați"
"Remind Email Template","Remind Email Template"
"Remind Password","Remind Password"
"Remove","Remove"
"Require Emails Confirmation","Require Emails Confirmation"
"Reset a Password","Reset a Password"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer groups","Retrieve customer groups"
"Retrieve customer info","Retrieve customer info"
"Retrieve customers","Retrieve customers"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Aici puteți recupera parola dumneavoastră"
"SKU","Cod Produs"
"Sales Statistics","Sales Statistics"
"Save","Salvează"
"Save Address","Salvează adresa"
"Save Customer","Salvează clientul"
"Save Customer Group","Save Customer Group"
"Save Password","Salvează parola"
"Save and Continue Edit","Salvează si continuă Editarea"
"Saved %d record(s)","Salvat %d inregistrarea(rile)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send From","Send From"
"Send Welcome Email","Send Welcome Email"
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Send auto-generated password"
"Send confirmation link","Send confirmation link"
"Sending","Sending"
"Sent","Sent"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Set as Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Share Customer Accounts","Share Customer Accounts"
"Shipped to First Name","Shipped to First Name"
"Shipped to Last Name","Shipped to Last Name"
"Shipped to Name","Shipped to Name"
"Shopping Cart","Coș de cumpărături"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Shopping Cart of %1$s - %2$d item(s)","Shopping Cart of %1$s - %2$d item(s)"
"Show Date of Birth","Show Date of Birth"
"Show Gender","Show Gender"
"Show Middle Name (initial)","Show Middle Name (initial)"
"Show Prefix","Show Prefix"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Arată CNP"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, website ""%s"" field does not exist.","Skipping import row, website ""%s"" field does not exist."
"State/Province","State/Province"
"Status","Stare"
"Store","Store"
"Store View","Store View"
"Street Address","Adresă"
"Street Address %s","Adresă %s"
"Subject","Subiect"
"Submit","Execută"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Subscribed to Newsletter?","Subscribed to Newsletter?"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Tag Name","Tag Name"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Class","Tax Class"
"Tax/VAT number","CNP"
"Telephone","Telephone"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s.","Vă mulţumim pentru că v-aţi înregistrat pe %s."
"The Date of Birth is required.","Data nașterii este necesară."
"The TAX/VAT number is required.","The TAX/VAT number is required."
"The VAT ID entered (%s) is not a valid VAT ID.","The VAT ID entered (%s) is not a valid VAT ID."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Codul CIF introdus (%s) nu este un cod CIF valid. The customer would belong to Customer Group %s."
"The VAT ID is valid. The current Customer Group will be used.","Codul CIF este valid. The current Customer Group will be used."
"The account information has been saved.","Informațiile contului au fost salvate."
"The address does not belong to this customer.","Adresa nu aparține acestui client."
"The address has been deleted.","Adresa a fost ștearsă."
"The address has been saved.","Adresa a fost salvată."
"The customer ID and email did not match, skipping the record, line: %s","The customer ID and email did not match, skipping the record, line: %s"
"The customer does not have default billing address.","The customer does not have default billing address."
"The customer email (%s) already exists, skipping the record, line: %s","The customer email (%s) already exists, skipping the record, line: %s"
"The customer group has been deleted.","The customer group has been deleted."
"The customer group has been saved.","The customer group has been saved."
"The customer is currently assigned to Customer Group %s.","The customer is currently assigned to Customer Group %s."
"The first name cannot be empty.","The first name cannot be empty."
"The group ""%s"" cannot be deleted","The group ""%s"" cannot be deleted"
"The last name cannot be empty.","The last name cannot be empty."
"The minimum password length is %s","The minimum password length is %s"
"The password cannot be empty.","The password cannot be empty."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","The password must have at least 6 characters. Leading or trailing spaces will be ignored."
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","There are no items in customer's wishlist at the moment"
"There are no items in customer\'s shopping cart at the moment","There are no items in customer\'s shopping cart at the moment"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Există deja un cont cu această adresă de e-mail. Dacă sunteți sigur că acesta este adresa de e-mail, <a href=""%s"">apăsați aici</a> pentru a obține parola și accesați contul dumneavoastră."
"There was an error validating the VAT ID.","There was an error validating the VAT ID."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","There was an error validating the VAT ID. The customer would belong to Customer Group %s."
"This account is not confirmed.","Acest cont nu este confirmat."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Acest cont nu este confirmat. <a href=""%s"">Apasă aici</a> pentru a retrimite un e-mail de confirmare."
"This customer email already exists","This customer email already exists"
"This customer has no saved addresses.","Acest client nu are salvată nici o adresă."
"This email does not require confirmation.","This email does not require confirmation."
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"This is My Default %s Address","This is My Default %s Address"
"To Cart","În coș"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Total","Total"
"Type","Tip"
"Unknown","Necunoscut"
"Unsubscribe from Newsletter","Dezabonare de la Newsletter"
"Update","Actualizare
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Default %s Address","Use as My Default %s Address"
"Use as My Default Billing Address","Foloseşte ca adresă principală de facturare"
"Use as My Default Shipping Address","Foloseşte ca adresă principală de livrare"
"Use as my default billing address","Foloseşte ca adresă principală de facturare"
"Use as my default shipping address","Foloseşte ca adresă principală de livrare"
"VAT Number","VAT Number"
"VAT Request Date","VAT Request Date"
"VAT Request Identifier","VAT Request Identifier"
"Validate VAT Number","Validate VAT Number"
"Validate on Each Transaction","Validate on Each Transaction"
"Validation Error Group","Validation Error Group"
"View","View"
"View Order","View Order"
"Visitor","Visitor"
"Visitors Only","Visitors Only"
"Website","Website"
"Welcome Email","Welcome Email"
"Wishlist","Wishlist"
"Wishlist - %d item(s)","Wishlist - %d item(s)"
"Would you like to change the Customer Group for this order?","Would you like to change the Customer Group for this order?"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong transactional account email type","Wrong transactional account email type"
"YYYY","AAAA"
"Year","An"
"You are currently not subscribed to any newsletter.","Momentan nu sunteți abonat la nici un newsletter."
"You are currently not subscribed to our newsletter.","Momentan nu sunteți abonat la newsletter-ul nostru."
"You are currently subscribed to 'General Subscription'.","Sunteți abonat la 'Informații generale'."
"You are currently subscribed to our newsletter.","Sunteti abonat la newsletter-ul nostru."
"You are now logged out","Sunteți deconectat de la contul dumneavoastră"
"You have logged out and will be redirected to our homepage in 5 seconds.","V-ați deconectat și veți fi redirecționat în 5 secunde către Prima Pagină."
"You have no additional address entries in your address book.","Nu aveți salvate alte adrese suplimentare."
"You have no additional entries in your address book.","You have no additional entries in your address book."
"You have no default billing address in your address book.","You have no default billing address in your address book."
"You have no default entries in your address book.","You have no default entries in your address book."
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"You have not set a default billing address.","Nu ați setat o adresă de facturare principală."
"You have not set a default shipping address.","Nu ați setat o adresă de expediere principală."
"You have placed no orders yet.","Nu aveți comenzi introduse deocamdată."
"You have placed no products yet.","You have placed no products yet."
"You will be charged tax.","You will be charged tax."
"You will not be charged tax.","You will not be charged tax."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"Your account balance is: %s","Your account balance is: %s"
"Your password has been updated.","Parola dumneavoastră a fost actualizată."
"Your password reset link has expired.","Link-ul de resetare a parolei a expirat."
"ZIP","Cod Poștal"
"ZIP/Post Code","Cod Poștal"
"Zip/Postal Code","Cod Poștal"
"n/a","nu există"
"or","sau"
